table_name,ordinal_position,column_name,data_type,is_nullable,column_default
accounting_accounts,1,id,uuid,NO,gen_random_uuid()
accounting_accounts,2,brand_id,uuid,NO,
accounting_accounts,3,code,character varying,NO,
accounting_accounts,4,name,character varying,NO,
accounting_accounts,5,account_type,character varying,NO,
accounting_accounts,6,normal_balance,character varying,NO,
accounting_accounts,7,parent_id,uuid,YES,
accounting_accounts,8,is_system,boolean,NO,false
accounting_accounts,9,is_active,boolean,NO,true
accounting_accounts,10,created_at,timestamp with time zone,YES,now()
accounting_accounts,11,updated_at,timestamp with time zone,YES,now()
accounting_bank_accounts,1,id,uuid,NO,gen_random_uuid()
accounting_bank_accounts,2,brand_id,uuid,NO,
accounting_bank_accounts,3,name,character varying,NO,
accounting_bank_accounts,4,account_last4,character varying,YES,
accounting_bank_accounts,5,gl_account_id,uuid,NO,
accounting_bank_accounts,6,is_active,boolean,NO,true
accounting_bank_accounts,7,created_at,timestamp with time zone,YES,now()
accounting_bank_accounts,8,updated_at,timestamp with time zone,YES,now()
accounting_bank_reconciliation_items,1,id,uuid,NO,gen_random_uuid()
accounting_bank_reconciliation_items,2,reconciliation_id,uuid,NO,
accounting_bank_reconciliation_items,3,voucher_id,uuid,YES,
accounting_bank_reconciliation_items,4,journal_entry_id,uuid,YES,
accounting_bank_reconciliation_items,5,description,text,YES,
accounting_bank_reconciliation_items,6,amount,numeric,NO,0
accounting_bank_reconciliation_items,7,is_cleared,boolean,NO,false
accounting_bank_reconciliation_items,8,created_at,timestamp with time zone,YES,now()
accounting_bank_reconciliations,1,id,uuid,NO,gen_random_uuid()
accounting_bank_reconciliations,2,brand_id,uuid,NO,
accounting_bank_reconciliations,3,bank_account_id,uuid,NO,
accounting_bank_reconciliations,4,statement_date,date,NO,
accounting_bank_reconciliations,5,statement_ending_balance,numeric,NO,0
accounting_bank_reconciliations,6,book_balance,numeric,NO,0
accounting_bank_reconciliations,7,notes,text,YES,
accounting_bank_reconciliations,8,reconciled_by,character varying,YES,
accounting_bank_reconciliations,9,created_at,timestamp with time zone,YES,now()
