table_name,constraint_type,constraint_name,column_name
accounting_accounts,CHECK,2200_210917_4_not_null,
accounting_accounts,CHECK,2200_210917_3_not_null,
accounting_accounts,CHECK,2200_210917_2_not_null,
accounting_accounts,CHECK,accounting_accounts_account_type_check,
accounting_accounts,CHECK,2200_210917_9_not_null,
accounting_accounts,CHECK,2200_210917_1_not_null,
accounting_accounts,CHECK,2200_210917_8_not_null,
accounting_accounts,CHECK,2200_210917_6_not_null,
accounting_accounts,CHECK,2200_210917_5_not_null,
accounting_accounts,CHECK,accounting_accounts_normal_balance_check,
accounting_accounts,FOREIGN KEY,accounting_accounts_brand_id_fkey,brand_id
accounting_accounts,FOREIGN KEY,accounting_accounts_parent_id_fkey,parent_id
accounting_accounts,PRIMARY KEY,accounting_accounts_pkey,id
accounting_accounts,UNIQUE,accounting_accounts_brand_id_code_key,brand_id
accounting_accounts,UNIQUE,accounting_accounts_brand_id_code_key,code
accounting_bank_accounts,CHECK,2200_211048_2_not_null,
accounting_bank_accounts,CHECK,2200_211048_5_not_null,
accounting_bank_accounts,CHECK,2200_211048_6_not_null,
accounting_bank_accounts,CHECK,2200_211048_1_not_null,
accounting_bank_accounts,CHECK,2200_211048_3_not_null,
accounting_bank_accounts,FOREIGN KEY,accounting_bank_accounts_gl_account_id_fkey,gl_account_id
accounting_bank_accounts,FOREIGN KEY,accounting_bank_accounts_brand_id_fkey,brand_id
accounting_bank_accounts,PRIMARY KEY,accounting_bank_accounts_pkey,id
accounting_bank_reconciliation_items,CHECK,2200_211090_7_not_null,
accounting_bank_reconciliation_items,CHECK,2200_211090_1_not_null,
accounting_bank_reconciliation_items,CHECK,2200_211090_6_not_null,
accounting_bank_reconciliation_items,CHECK,2200_211090_2_not_null,
accounting_bank_reconciliation_items,FOREIGN KEY,accounting_bank_reconciliation_items_journal_entry_id_fkey,journal_entry_id
accounting_bank_reconciliation_items,FOREIGN KEY,accounting_bank_reconciliation_items_reconciliation_id_fkey,reconciliation_id
accounting_bank_reconciliation_items,FOREIGN KEY,accounting_bank_reconciliation_items_voucher_id_fkey,voucher_id
accounting_bank_reconciliation_items,PRIMARY KEY,accounting_bank_reconciliation_items_pkey,id
accounting_bank_reconciliations,CHECK,2200_211068_5_not_null,
accounting_bank_reconciliations,CHECK,2200_211068_6_not_null,
