tablename,indexname,indexdef
accounting_accounts,accounting_accounts_brand_id_code_key,"CREATE UNIQUE INDEX accounting_accounts_brand_id_code_key ON public.accounting_accounts USING btree (brand_id, code)"
accounting_accounts,accounting_accounts_pkey,CREATE UNIQUE INDEX accounting_accounts_pkey ON public.accounting_accounts USING btree (id)
accounting_accounts,idx_accounting_accounts_brand,CREATE INDEX idx_accounting_accounts_brand ON public.accounting_accounts USING btree (brand_id)
accounting_accounts,idx_accounting_accounts_type,"CREATE INDEX idx_accounting_accounts_type ON public.accounting_accounts USING btree (brand_id, account_type)"
accounting_bank_accounts,accounting_bank_accounts_pkey,CREATE UNIQUE INDEX accounting_bank_accounts_pkey ON public.accounting_bank_accounts USING btree (id)
accounting_bank_accounts,idx_accounting_bank_accounts_brand,CREATE INDEX idx_accounting_bank_accounts_brand ON public.accounting_bank_accounts USING btree (brand_id)
accounting_bank_reconciliation_items,accounting_bank_reconciliation_items_pkey,CREATE UNIQUE INDEX accounting_bank_reconciliation_items_pkey ON public.accounting_bank_reconciliation_items USING btree (id)
accounting_bank_reconciliation_items,idx_bank_recon_items_recon,CREATE INDEX idx_bank_recon_items_recon ON public.accounting_bank_reconciliation_items USING btree (reconciliation_id)
accounting_bank_reconciliations,accounting_bank_reconciliations_pkey,CREATE UNIQUE INDEX accounting_bank_reconciliations_pkey ON public.accounting_bank_reconciliations USING btree (id)
accounting_gl_balances,accounting_gl_balances_account_id_period_id_key,"CREATE UNIQUE INDEX accounting_gl_balances_account_id_period_id_key ON public.accounting_gl_balances USING btree (account_id, period_id)"
accounting_gl_balances,accounting_gl_balances_pkey,CREATE UNIQUE INDEX accounting_gl_balances_pkey ON public.accounting_gl_balances USING btree (id)
accounting_gl_balances,idx_accounting_gl_balances_brand_period,"CREATE INDEX idx_accounting_gl_balances_brand_period ON public.accounting_gl_balances USING btree (brand_id, period_id)"
accounting_journal_entries,accounting_journal_entries_brand_id_entry_number_key,"CREATE UNIQUE INDEX accounting_journal_entries_brand_id_entry_number_key ON public.accounting_journal_entries USING btree (brand_id, entry_number)"
accounting_journal_entries,accounting_journal_entries_pkey,CREATE UNIQUE INDEX accounting_journal_entries_pkey ON public.accounting_journal_entries USING btree (id)
accounting_journal_entries,idx_accounting_journal_brand_date,"CREATE INDEX idx_accounting_journal_brand_date ON public.accounting_journal_entries USING btree (brand_id, entry_date)"
accounting_journal_entries,idx_accounting_journal_one_opening_balance,CREATE UNIQUE INDEX idx_accounting_journal_one_opening_balance ON public.accounting_journal_entries USING btree (brand_id) WHERE (((source_type)::text = 'opening_balance'::text) AND ((status)::text = 'posted'::text))
accounting_journal_entries,idx_accounting_journal_posted_source,"CREATE UNIQUE INDEX idx_accounting_journal_posted_source ON public.accounting_journal_entries USING btree (brand_id, source_type, source_id) WHERE (((status)::text = 'posted'::text) AND (source_id IS NOT NULL))"
accounting_journal_entries,idx_accounting_journal_status,"CREATE INDEX idx_accounting_journal_status ON public.accounting_journal_entries USING btree (brand_id, status)"
accounting_journal_lines,accounting_journal_lines_pkey,CREATE UNIQUE INDEX accounting_journal_lines_pkey ON public.accounting_journal_lines USING btree (id)
accounting_journal_lines,idx_accounting_journal_lines_account,CREATE INDEX idx_accounting_journal_lines_account ON public.accounting_journal_lines USING btree (account_id)
accounting_journal_lines,idx_accounting_journal_lines_entry,CREATE INDEX idx_accounting_journal_lines_entry ON public.accounting_journal_lines USING btree (journal_entry_id)
accounting_periods,accounting_periods_brand_id_year_month_key,"CREATE UNIQUE INDEX accounting_periods_brand_id_year_month_key ON public.accounting_periods USING btree (brand_id, year, month)"
accounting_periods,accounting_periods_pkey,CREATE UNIQUE INDEX accounting_periods_pkey ON public.accounting_periods USING btree (id)
accounting_periods,idx_accounting_periods_brand,CREATE INDEX idx_accounting_periods_brand ON public.accounting_periods USING btree (brand_id)
accounting_petty_cash_reconciliations,accounting_petty_cash_reconciliations_pkey,CREATE UNIQUE INDEX accounting_petty_cash_reconciliations_pkey ON public.accounting_petty_cash_reconciliations USING btree (id)
accounting_petty_cash_reconciliations,idx_petty_cash_recon_brand,CREATE INDEX idx_petty_cash_recon_brand ON public.accounting_petty_cash_reconciliations USING btree (brand_id)
accounting_posting_errors,accounting_posting_errors_pkey,CREATE UNIQUE INDEX accounting_posting_errors_pkey ON public.accounting_posting_errors USING btree (id)
accounting_posting_errors,idx_accounting_posting_errors_brand_unresolved,CREATE INDEX idx_accounting_posting_errors_brand_unresolved ON public.accounting_posting_errors USING btree (brand_id) WHERE (resolved_at IS NULL)
accounting_posting_errors,idx_accounting_posting_errors_source,"CREATE INDEX idx_accounting_posting_errors_source ON public.accounting_posting_errors USING btree (brand_id, source_type, source_id)"
accounting_voucher_lines,accounting_voucher_lines_pkey,CREATE UNIQUE INDEX accounting_voucher_lines_pkey ON public.accounting_voucher_lines USING btree (id)
accounting_voucher_lines,idx_accounting_voucher_lines_voucher,CREATE INDEX idx_accounting_voucher_lines_voucher ON public.accounting_voucher_lines USING btree (voucher_id)
accounting_voucher_links,accounting_voucher_links_pkey,CREATE UNIQUE INDEX accounting_voucher_links_pkey ON public.accounting_voucher_links USING btree (id)
accounting_voucher_links,idx_accounting_voucher_links_source,"CREATE INDEX idx_accounting_voucher_links_source ON public.accounting_voucher_links USING btree (source_type, source_id)"
accounting_voucher_links,idx_accounting_voucher_links_voucher,CREATE INDEX idx_accounting_voucher_links_voucher ON public.accounting_voucher_links USING btree (voucher_id)
accounting_voucher_settings,accounting_voucher_settings_brand_id_key,CREATE UNIQUE INDEX accounting_voucher_settings_brand_id_key ON public.accounting_voucher_settings USING btree (brand_id)
accounting_voucher_settings,accounting_voucher_settings_pkey,CREATE UNIQUE INDEX accounting_voucher_settings_pkey ON public.accounting_voucher_settings USING btree (id)
accounting_vouchers,accounting_vouchers_pkey,CREATE UNIQUE INDEX accounting_vouchers_pkey ON public.accounting_vouchers USING btree (id)
accounting_vouchers,accounting_vouchers_voucher_type_voucher_number_key,"CREATE UNIQUE INDEX accounting_vouchers_voucher_type_voucher_number_key ON public.accounting_vouchers USING btree (voucher_type, voucher_number)"
accounting_vouchers,idx_accounting_vouchers_brand,CREATE INDEX idx_accounting_vouchers_brand ON public.accounting_vouchers USING btree (brand_id)
accounting_vouchers,idx_accounting_vouchers_date,CREATE INDEX idx_accounting_vouchers_date ON public.accounting_vouchers USING btree (voucher_date)
accounting_vouchers,idx_accounting_vouchers_status,CREATE INDEX idx_accounting_vouchers_status ON public.accounting_vouchers USING btree (status)
accounting_vouchers,idx_accounting_vouchers_type,CREATE INDEX idx_accounting_vouchers_type ON public.accounting_vouchers USING btree (voucher_type)
accounting_year_end_closes,accounting_year_end_closes_brand_id_fiscal_year_key,"CREATE UNIQUE INDEX accounting_year_end_closes_brand_id_fiscal_year_key ON public.accounting_year_end_closes USING btree (brand_id, fiscal_year)"
accounting_year_end_closes,accounting_year_end_closes_pkey,CREATE UNIQUE INDEX accounting_year_end_closes_pkey ON public.accounting_year_end_closes USING btree (id)
accounting_year_end_closes,idx_accounting_year_end_closes_brand,CREATE INDEX idx_accounting_year_end_closes_brand ON public.accounting_year_end_closes USING btree (brand_id)
admin_credentials,admin_credentials_pkey,CREATE UNIQUE INDEX admin_credentials_pkey ON public.admin_credentials USING btree (id)
admin_credentials,admin_credentials_username_key,CREATE UNIQUE INDEX admin_credentials_username_key ON public.admin_credentials USING btree (username)
admin_credentials,idx_admin_credentials_active,CREATE INDEX idx_admin_credentials_active ON public.admin_credentials USING btree (is_active) WHERE (is_active = true)
admin_credentials,idx_admin_credentials_passcode,CREATE INDEX idx_admin_credentials_passcode ON public.admin_credentials USING btree (passcode)
announcements,announcements_pkey,CREATE UNIQUE INDEX announcements_pkey ON public.announcements USING btree (id)
announcements,idx_announcements_active,CREATE INDEX idx_announcements_active ON public.announcements USING btree (is_active)
announcements,idx_announcements_staff_id,CREATE INDEX idx_announcements_staff_id ON public.announcements USING btree (staff_registration_id)
announcements,idx_announcements_type,CREATE INDEX idx_announcements_type ON public.announcements USING btree (type)
brands,brands_name_key,CREATE UNIQUE INDEX brands_name_key ON public.brands USING btree (name)
brands,brands_pkey,CREATE UNIQUE INDEX brands_pkey ON public.brands USING btree (id)
brands,brands_slug_key,CREATE UNIQUE INDEX brands_slug_key ON public.brands USING btree (slug)
customer_order_status_history,customer_order_status_history_pkey,CREATE UNIQUE INDEX customer_order_status_history_pkey ON public.customer_order_status_history USING btree (id)
customer_order_status_history,idx_customer_order_status_history_created_at,CREATE INDEX idx_customer_order_status_history_created_at ON public.customer_order_status_history USING btree (created_at)
customer_order_status_history,idx_customer_order_status_history_order_id,CREATE INDEX idx_customer_order_status_history_order_id ON public.customer_order_status_history USING btree (order_id)
customer_orders,customer_orders_pkey,CREATE UNIQUE INDEX customer_orders_pkey ON public.customer_orders USING btree (id)
customer_orders,idx_customer_orders_brand_id,CREATE INDEX idx_customer_orders_brand_id ON public.customer_orders USING btree (brand_id)
customer_orders,idx_customer_orders_created_at,CREATE INDEX idx_customer_orders_created_at ON public.customer_orders USING btree (created_at)
customer_orders,idx_customer_orders_location_id,CREATE INDEX idx_customer_orders_location_id ON public.customer_orders USING btree (location_id)
customer_orders,idx_customer_orders_status,CREATE INDEX idx_customer_orders_status ON public.customer_orders USING btree (status)
daily_stock_summaries,daily_stock_summaries_brand_id_date_key,"CREATE UNIQUE INDEX daily_stock_summaries_brand_id_date_key ON public.daily_stock_summaries USING btree (brand_id, date)"
daily_stock_summaries,daily_stock_summaries_pkey,CREATE UNIQUE INDEX daily_stock_summaries_pkey ON public.daily_stock_summaries USING btree (id)
daily_stock_summaries,idx_daily_stock_summaries_brand_id,CREATE INDEX idx_daily_stock_summaries_brand_id ON public.daily_stock_summaries USING btree (brand_id)
daily_stock_summaries,idx_daily_stock_summaries_date,CREATE INDEX idx_daily_stock_summaries_date ON public.daily_stock_summaries USING btree (date)
delivery_receipt_items,delivery_receipt_items_pkey,CREATE UNIQUE INDEX delivery_receipt_items_pkey ON public.delivery_receipt_items USING btree (id)
delivery_receipt_items,idx_delivery_receipt_items_receipt_id,CREATE INDEX idx_delivery_receipt_items_receipt_id ON public.delivery_receipt_items USING btree (delivery_receipt_id)
delivery_receipts,delivery_receipts_pkey,CREATE UNIQUE INDEX delivery_receipts_pkey ON public.delivery_receipts USING btree (id)
