tablename,policyname,cmd,qual,with_check
accounting_accounts,Allow all on accounting_accounts,ALL,true,
accounting_bank_accounts,Allow all on accounting_bank_accounts,ALL,true,
accounting_bank_reconciliation_items,Allow all on accounting_bank_reconciliation_items,ALL,true,
accounting_bank_reconciliations,Allow all on accounting_bank_reconciliations,ALL,true,
accounting_gl_balances,Allow all on accounting_gl_balances,ALL,true,
accounting_journal_entries,Allow all on accounting_journal_entries,ALL,true,
accounting_journal_lines,Allow all on accounting_journal_lines,ALL,true,
accounting_periods,Allow all on accounting_periods,ALL,true,
accounting_petty_cash_reconciliations,Allow all on accounting_petty_cash_reconciliations,ALL,true,
accounting_posting_errors,Allow all on accounting_posting_errors,ALL,true,
accounting_voucher_lines,Allow all on accounting_voucher_lines,ALL,true,
accounting_voucher_links,Allow all on accounting_voucher_links,ALL,true,
accounting_voucher_settings,Allow all on accounting_voucher_settings,ALL,true,
accounting_vouchers,Allow all on accounting_vouchers,ALL,true,
accounting_year_end_closes,Allow all on accounting_year_end_closes,ALL,true,
admin_credentials,Allow authenticated users to read admin credentials,SELECT,(auth.role() = 'authenticated'::text),
admin_credentials,Allow service role to manage admin credentials,ALL,(auth.role() = 'service_role'::text),
brands,Allow all operations on brands,ALL,true,
customer_order_status_history,Allow all operations on customer_order_status_history,ALL,true,
customer_orders,Allow all operations on customer_orders,ALL,true,
daily_stock_summaries,Allow all operations on daily_stock_summaries,ALL,true,
delivery_receipt_items,Allow all operations on delivery_receipt_items,ALL,true,
delivery_receipts,Allow all operations on delivery_receipts,ALL,true,
dsir_discounts,Enable all operations on dsir_discounts,ALL,true,
dsir_expenses,Enable all operations on dsir_expenses,ALL,true,
dsir_ice_cream_inventory,Enable all operations on dsir_ice_cream_inventory,ALL,true,
dsir_materials_inventory,Enable all operations on dsir_materials_inventory,ALL,true,
dsir_predefined_items,Enable delete access for all users,DELETE,true,
dsir_predefined_items,Enable insert access for all users,INSERT,,true
dsir_predefined_items,Enable read access for all users,SELECT,true,
dsir_predefined_items,Enable update access for all users,UPDATE,true,
dsir_reports,Enable all operations on dsir_reports,ALL,true,
dsir_sales_inventory,Enable all operations on dsir_sales_inventory,ALL,true,
dsir_sales_recon,Enable all operations on dsir_sales_recon,ALL,true,
factory_batch_material_usage,Allow all on factory_batch_material_usage,ALL,true,
factory_daily_staff,Allow all on factory_daily_staff,ALL,true,
factory_material_requests,Allow all on factory_material_requests,ALL,true,
factory_opened_materials,Allow all on factory_opened_materials,ALL,true,
factory_production_batches,Allow all on factory_production_batches,ALL,true,
factory_sticker_requests,Allow all on factory_sticker_requests,ALL,true,
fixed_assets,Allow all on fixed_assets,ALL,true,
gfc_attendance_logs,Allow all on gfc_attendance_logs,ALL,true,
intercompany_brand_settings,Allow all on intercompany_brand_settings,ALL,true,
intercompany_transfer_lines,Allow all on intercompany_transfer_lines,ALL,true,
intercompany_transfers,Allow all on intercompany_transfers,ALL,true,
locations,Allow all operations on locations,ALL,true,
material_cycle_count_lines,Allow all on material_cycle_count_lines,ALL,true,
material_cycle_counts,Allow all on material_cycle_counts,ALL,true,
material_stock_alerts,Allow all operations on material_stock_alerts,ALL,true,
material_stock_movements,Allow all operations on material_stock_movements,ALL,true,
material_transfer_lines,Allow all on material_transfer_lines,ALL,true,
material_transfers,Allow all on material_transfers,ALL,true,
order_details,Allow all operations on order_details,ALL,true,
payroll_deductions_refunds,Allow all operations on payroll_deductions_refunds,ALL,true,
payroll_run_brand_totals,Allow all on payroll_run_brand_totals,ALL,true,
payroll_run_lines,Allow all on payroll_run_lines,ALL,true,
payroll_runs,Allow all on payroll_runs,ALL,true,
po_payments,Allow all operations on po_payments,ALL,true,
po_purchaser_templates,Allow all on po_purchaser_templates,ALL,true,
po_status_history,Allow all operations on po_status_history,ALL,true,
product_bom_items,Allow all on product_bom_items,ALL,true,
product_category_sort,Allow all on product_category_sort,ALL,true,
product_cycle_count_lines,Allow all on product_cycle_count_lines,ALL,true,
product_cycle_counts,Allow all on product_cycle_counts,ALL,true,
production_schedules,Allow all operations on production_schedules,ALL,true,
production_sticker_logs,Allow all operations on production_sticker_logs,ALL,true,
products,Allow all operations on products,ALL,true,
purchase_order_items,Allow all operations on purchase_order_items,ALL,true,
purchase_orders,Allow all operations on purchase_orders,ALL,true,
purchase_requisition_items,Allow all operations on purchase_requisition_items,ALL,true,
purchase_requisitions,Allow all operations on purchase_requisitions,ALL,true,
quotation_items,Allow all operations on quotation_items,ALL,true,
quotations,Allow all operations on quotations,ALL,true,
raw_materials,Allow all operations on raw_materials,ALL,true,
staff_advance_disbursements,Allow all on staff_advance_disbursements,ALL,true,
staff_assignments,Enable all operations on staff_assignments,ALL,true,
staff_registrations,Enable all operations on staff_registrations,ALL,true,
staff_schedules,Enable all operations on staff_schedules,ALL,true,
supplier_invoice_lines,Allow all on supplier_invoice_lines,ALL,true,
supplier_invoices,Allow all on supplier_invoices,ALL,true,
suppliers,Allow all operations on suppliers,ALL,true,
