table_name,approx_rows
accounting_accounts,112
accounting_bank_accounts,3
accounting_bank_reconciliation_items,0
accounting_bank_reconciliations,0
accounting_gl_balances,0
accounting_journal_entries,0
accounting_journal_lines,0
accounting_periods,3
accounting_petty_cash_reconciliations,0
accounting_posting_errors,0
accounting_voucher_lines,0
accounting_voucher_links,0
accounting_voucher_settings,4
accounting_vouchers,0
accounting_year_end_closes,0
admin_credentials,7
announcements,7
audit_log_entries,0
brands,4
buckets,7
buckets_analytics,0
buckets_vectors,0
custom_oauth_providers,0
customer_order_status_history,0
customer_orders,712
daily_stock_summaries,321
delivery_receipt_items,0
delivery_receipts,41
dsir_discounts,1895
dsir_expenses,504
dsir_ice_cream_inventory,13671
dsir_materials_inventory,7382
dsir_predefined_items,109
dsir_reports,1400
dsir_sales_inventory,5640
dsir_sales_recon,6527
factory_batch_material_usage,0
factory_daily_staff,0
factory_material_requests,0
factory_opened_materials,0
factory_production_batches,0
factory_sticker_requests,0
fixed_assets,1
flow_state,0
gfc_attendance_logs,100
identities,0
instances,0
intercompany_brand_settings,3
intercompany_transfer_lines,0
intercompany_transfers,0
leave_requests,15
locations,34
logistics_assignments,690
material_cycle_count_lines,0
material_cycle_counts,0
material_stock_alerts,0
material_stock_movements,0
material_transfer_lines,0
material_transfers,0
messages,0
messages_2026_06_15,0
messages_2026_06_16,0
messages_2026_06_17,0
messages_2026_06_18,0
messages_2026_06_19,0
messages_2026_06_20,0
messages_2026_06_21,0
mfa_amr_claims,0
mfa_challenges,0
mfa_factors,0
migrations,61
oauth_authorizations,0
oauth_client_states,0
oauth_clients,0
oauth_consents,0
objects,418
one_time_tokens,0
order_details,8469
payroll_deductions_refunds,0
payroll_run_brand_totals,0
payroll_run_lines,0
payroll_runs,0
po_payments,0
po_purchaser_templates,1
po_status_history,0
product_bom_items,0
product_category_sort,31
product_cycle_count_lines,0
product_cycle_counts,0
production_schedules,0
production_sticker_logs,0
products,94
purchase_order_items,0
purchase_orders,0
purchase_requisition_items,0
purchase_requisitions,0
quotation_items,0
quotations,0
raw_materials,0
refresh_tokens,0
s3_multipart_uploads,0
s3_multipart_uploads_parts,0
saml_providers,0
saml_relay_states,0
schema_migrations,76
schema_migrations,75
secrets,0
sessions,0
sso_domains,0
sso_providers,0
staff_advance_disbursements,0
staff_assignments,42
staff_registrations,14
staff_schedules,1697
subscription,1
supplier_invoice_lines,0
supplier_invoices,0
suppliers,6
users,0
vector_indexes,0
webauthn_challenges,0
webauthn_credentials,0
